Index,X,Y,Z,Target_X,Target_Y,Target_Z
275,-0.228045,-0.0248123,0.599565,-0.21436,-0.0248534,0.59964
276,-0.227917,-0.0248126,0.599566,-0.21436,-0.0248534,0.59964
277,-0.22779,-0.0248128,0.599566,-0.21436,-0.0248534,0.59964
278,-0.227662,-0.024813,0.599566,-0.21436,-0.0248534,0.59964
279,-0.227535,-0.0248133,0.599567,-0.21436,-0.0248534,0.59964
280,-0.227407,-0.0248135,0.599567,-0.21436,-0.0248534,0.59964
281,-0.22728,-0.0248138,0.599568,-0.21436,-0.0248534,0.59964
282,-0.227152,-0.024814,0.599568,-0.21436,-0.0248534,0.59964
283,-0.227025,-0.0248142,0.599568,-0.21436,-0.0248534,0.59964
284,-0.226897,-0.0248145,0.599569,-0.21436,-0.0248534,0.59964
285,-0.22677,-0.0248147,0.599569,-0.21436,-0.0248534,0.59964
286,-0.226643,-0.024815,0.59957,-0.21436,-0.0248534,0.59964
287,-0.226515,-0.0248152,0.59957,-0.21436,-0.0248534,0.59964
288,-0.226388,-0.0248154,0.59957,-0.21436,-0.0248534,0.59964
289,-0.226261,-0.0248157,0.599571,-0.21436,-0.0248534,0.59964
290,-0.226133,-0.0248159,0.599571,-0.21436,-0.0248534,0.59964
291,-0.226006,-0.0248161,0.599571,-0.21436,-0.0248534,0.59964
292,-0.225879,-0.0248164,0.599572,-0.21436,-0.0248534,0.59964
293,-0.225751,-0.0248166,0.599572,-0.21436,-0.0248534,0.59964
294,-0.225624,-0.0248169,0.599573,-0.21436,-0.0248534,0.59964
295,-0.225497,-0.0248171,0.599573,-0.21436,-0.0248534,0.59964
296,-0.225369,-0.0248173,0.599573,-0.21436,-0.0248534,0.59964
297,-0.225242,-0.0248176,0.599574,-0.21436,-0.0248534,0.59964
298,-0.225115,-0.0248178,0.599574,-0.21436,-0.0248534,0.59964
299,-0.224987,-0.024818,0.599575,-0.21436,-0.0248534,0.59964
300,-0.22486,-0.0248183,0.599575,-0.21436,-0.0248534,0.59964
301,-0.224733,-0.0248185,0.599575,-0.21436,-0.0248534,0.59964
302,-0.224611,-0.0248187,0.599576,-0.21436,-0.0248534,0.59964
303,-0.224493,-0.024819,0.599576,-0.21436,-0.0248534,0.59964
304,-0.224379,-0.0248192,0.599577,-0.21436,-0.0248534,0.59964
305,-0.224269,-0.0248194,0.599577,-0.21436,-0.0248534,0.59964
306,-0.224162,-0.0248196,0.599577,-0.21436,-0.0248534,0.59964
307,-0.224059,-0.0248198,0.599578,-0.21436,-0.0248534,0.59964
308,-0.22396,-0.02482,0.599578,-0.21436,-0.0248534,0.59964
309,-0.223864,-0.0248201,0.599578,-0.21436,-0.0248534,0.59964
310,-0.223772,-0.0248203,0.599579,-0.21436,-0.0248534,0.59964
311,-0.223684,-0.0248205,0.599579,-0.21436,-0.0248534,0.59964
312,-0.223598,-0.0248207,0.599579,-0.21436,-0.0248534,0.59964
